   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
   x
 229
 144
-141
-234
  -4
 233
 148
-145
-238
   0
 237
 144
-149
-234
   4
 233
 140
-145
-230
   0
 229
 144
-141
-234
  -4
 233
 148
-145
-238
   0
 237
 144
-149
-234
   4
 233
 140
-145
-230
   0
 229
 144
-141
-234
  -4
 233
 148
-145
-238
   0
 237
 144
-149
-234
   4
 233
 140
-145
-230
   0
 229
 144
-141
-234
  -4
 233
 148
-145
-238
   0
 237
 144
-149
-234
   4
 233
 140
-145
-230
   0
 229
 144
-141
-234
  -4
 233
 148
-145
-238
   0
 237
 144
-149
-234
   4
 233
 140
-145
-230
   0
 229
 144
-141
-234
  -4
 233
 148
-145
-238
   0
 237
 144
-149
-234
   4
 233
 140
-145
-230
   0
 229
 144
-141
-234
  -4
 233
 148
-145
-238
   0
 237
 144
-149
-234
   4
 233
